bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio
132,53,0.4015151515151515,0.8512626262626262,-1963.333333333334,kawasaki,relative,0.02,0.6
101,41,0.40594059405940597,0.7834983498349835,-2186.666666666667,kawasaki,relative,0.02,0.7
153,62,0.40522875816993464,0.7477124183006536,-3860.0,kawasaki,relative,0.03,0.5
122,50,0.4098360655737705,0.8997267759562841,-1223.333333333334,kawasaki,relative,0.03,0.6
91,37,0.4065934065934066,0.8058608058608058,-1766.666666666667,kawasaki,relative,0.03,0.7
140,57,0.40714285714285714,0.744047619047619,-3583.333333333334,kawasaki,relative,0.05,0.5
103,45,0.4368932038834951,0.9307443365695792,-713.3333333333339,kawasaki,relative,0.05,0.6
73,30,0.410958904109589,0.7621004566210046,-1736.666666666667,kawasaki,relative,0.05,0.7
127,53,0.41732283464566927,0.7753280839895013,-2853.333333333334,kawasaki,relative,0.07,0.5
86,39,0.45348837209302323,0.9403100775193798,-513.3333333333339,kawasaki,relative,0.07,0.6
55,21,0.38181818181818183,0.7933333333333332,-1136.666666666667,kawasaki,relative,0.07,0.7
106,43,0.4056603773584906,0.7468553459119497,-2683.333333333333,kawasaki,relative,0.1,0.5
67,27,0.40298507462686567,0.8651741293532338,-903.3333333333339,kawasaki,relative,0.1,0.6
43,20,0.46511627906976744,0.9775193798449612,-96.66666666666697,kawasaki,relative,0.1,0.7
61,27,0.4426229508196721,0.8786885245901639,-740.0,kawasaki,relative,0.15,0.5
47,20,0.425531914893617,0.9375886524822694,-293.33333333333394,kawasaki,relative,0.15,0.6
30,15,0.5,1.1277777777777778,383.33333333333303,kawasaki,relative,0.15,0.7
38,19,0.5,0.9912280701754386,-33.333333333333485,kawasaki,relative,0.2,0.5
28,14,0.5,1.1726190476190474,483.33333333333303,kawasaki,relative,0.2,0.6
18,9,0.5,1.485185185185185,873.333333333333,kawasaki,relative,0.2,0.7
231,92,0.39826839826839827,0.8095238095238095,-4400.0,kawasaki,combo,0.0,0.5
185,76,0.41081081081081083,0.8726126126126126,-2356.666666666668,kawasaki,combo,0.0,0.6
139,59,0.4244604316546763,0.9446043165467626,-770.0,kawasaki,combo,0.0,0.7
157,70,0.445859872611465,0.8087048832271762,-3003.333333333334,kawasaki,combo,0.02,0.5
134,60,0.44776119402985076,0.894278606965174,-1416.6666666666679,kawasaki,combo,0.02,0.6
97,44,0.4536082474226804,0.8536082474226804,-1420.0,kawasaki,combo,0.02,0.7
146,67,0.4589041095890411,0.7942922374429224,-3003.333333333332,kawasaki,combo,0.03,0.5
