bets,hits,hit_rate,roi,profit,track,feature_type,threshold,train_ratio,score
156,71,0.4551282051282051,0.7587606837606837,-3763.333333333334,ohi,relative,0.12,0.5,3.836480524528171
108,47,0.4351851851851852,0.6277777777777778,-4020.0,ohi,relative,0.12,0.6,2.9451239482882956
91,41,0.45054945054945056,0.6545787545787546,-3143.333333333333,ohi,relative,0.12,0.7,2.9598667352332
120,55,0.4583333333333333,0.7472222222222221,-3033.333333333334,ohi,relative,0.15,0.5,3.58352126879312
82,37,0.45121951219512196,0.6658536585365854,-2740.0,ohi,relative,0.15,0.6,2.942301185191394
71,30,0.4225352112676056,0.5845070422535211,-2950.0,ohi,relative,0.15,0.7,2.4997414639319198
72,34,0.4722222222222222,0.8583333333333333,-1020.0,ohi,relative,0.2,0.5,3.6826443536523685
48,22,0.4583333333333333,0.6847222222222222,-1513.3333333333335,ohi,relative,0.2,0.6,2.6648158430118594
51,22,0.43137254901960786,0.6496732026143791,-1786.6666666666665,ohi,relative,0.2,0.7,2.5670171609607446
353,163,0.46175637393767704,0.784985835694051,-7590.0,ohi,full,0.0,0.5,4.607314942292829
283,134,0.4734982332155477,0.780565371024735,-6210.0,ohi,full,0.0,0.6,4.409393672119472
212,101,0.47641509433962265,0.7594339622641509,-5100.0,ohi,full,0.0,0.7,4.07154735226046
285,133,0.4666666666666667,0.7781286549707602,-6323.333333333332,ohi,full,0.03,0.5,4.401089300278886
225,105,0.4666666666666667,0.7666666666666667,-5250.0,ohi,full,0.03,0.6,4.155743499442086
178,89,0.5,0.8016853932584269,-3530.0,ohi,full,0.03,0.7,4.158651429738628
246,119,0.483739837398374,0.8128726287262873,-4603.333333333332,ohi,full,0.05,0.5,4.478430979868731
198,94,0.47474747474747475,0.7803030303030303,-4350.0,ohi,full,0.05,0.6,4.130381795050172
157,80,0.5095541401273885,0.8146496815286625,-2910.0,ohi,full,0.05,0.7,4.124241431364007
220,106,0.4818181818181818,0.8125757575757576,-4123.333333333332,ohi,full,0.07,0.5,4.386416146702986
171,80,0.4678362573099415,0.7345029239766082,-4540.0,ohi,full,0.07,0.6,3.7808497443729223
136,70,0.5147058823529411,0.7720588235294118,-3100.0,ohi,full,0.07,0.7,3.7985146853820084
175,85,0.4857142857142857,0.7638095238095238,-4133.333333333334,ohi,full,0.1,0.5,3.9492649181148547
132,64,0.48484848484848486,0.7452020202020202,-3363.333333333334,ohi,full,0.1,0.6,3.644298049844039
105,56,0.5333333333333333,0.765079365079365,-2466.666666666667,ohi,full,0.1,0.7,3.567901021209549
146,70,0.4794520547945205,0.7515981735159818,-3626.666666666666,ohi,full,0.12,0.5,3.7508000172775344
112,57,0.5089285714285714,0.7247023809523809,-3083.333333333333,ohi,full,0.12,0.6,3.425949207906116
93,49,0.5268817204301075,0.7559139784946236,-2270.0,ohi,full,0.12,0.7,3.4343400343395833
114,53,0.4649122807017544,0.7374269005847953,-2993.333333333334,ohi,full,0.15,0.5,3.499040592904128
83,45,0.5421686746987951,0.7710843373493976,-1900.0,ohi,full,0.15,0.6,3.4165334352526755
66,35,0.5303030303030303,0.7348484848484849,-1750.0,ohi,full,0.15,0.7,3.0898120006130583
65,34,0.5230769230769231,0.7723076923076924,-1480.0,ohi,full,0.2,0.5,3.2357025853804084
54,28,0.5185185185185185,0.7753086419753087,-1213.333333333333,ohi,full,0.2,0.6,3.106920049785175
42,24,0.5714285714285714,0.7738095238095238,-950.0,ohi,full,0.2,0.7,2.9104524704771615
353,125,0.35410764872521244,0.6963172804532578,-10720.0,ohi,last_rank,0.0,0.5,4.0868928647260105
283,98,0.3462897526501767,0.6243816254416961,-10630.0,ohi,last_rank,0.0,0.6,3.5271157169013607
212,70,0.330188679245283,0.5727987421383648,-9056.666666666666,ohi,last_rank,0.0,0.7,3.0709414087546287
60,32,0.5333333333333333,1.1183333333333334,710.0,ohi,last_rank,0.03,0.5,4.59732727143382
43,22,0.5116279069767442,0.9054263565891473,-406.6666666666665,ohi,last_rank,0.03,0.6,3.42630503288103
35,19,0.5428571428571428,1.000952380952381,3.333333333333485,ohi,last_rank,0.03,0.7,3.586931813635592
23,14,0.6086956521739131,1.2840579710144928,653.3333333333335,ohi,last_rank,0.05,0.5,4.080805353171421
20,12,0.6,1.2016666666666667,403.3333333333335,ohi,last_rank,0.05,0.6,3.65850112933098
26,12,0.46153846153846156,0.6820512820512821,-826.6666666666665,ohi,last_rank,0.05,0.7,2.247929759890132
5,2,0.4,0.6,-200.0,ohi,last_rank,0.07,0.5,1.0750556815368328
353,150,0.42492917847025496,0.714353163361662,-10083.333333333332,ohi,jockey,0.0,0.5,4.192750816605949
283,116,0.4098939929328622,0.7454652532391048,-7203.333333333332,ohi,jockey,0.0,0.6,4.211114010992023
212,86,0.4056603773584906,0.8056603773584906,-4120.0,ohi,jockey,0.0,0.7,4.319380669354575
292,134,0.4589041095890411,0.781392694063927,-6383.333333333332,ohi,jockey,0.03,0.5,4.438445377707971
218,96,0.44036697247706424,0.8226299694189602,-3866.666666666668,ohi,jockey,0.03,0.6,4.433211912295531
153,67,0.43790849673202614,0.8793028322440087,-1846.666666666666,ohi,jockey,0.03,0.7,4.429006689181135
255,118,0.4627450980392157,0.8218300653594772,-4543.333333333332,ohi,jockey,0.05,0.5,4.557193541626537
183,83,0.453551912568306,0.8504553734061931,-2736.666666666666,ohi,jockey,0.05,0.6,4.435070137026659
126,60,0.47619047619047616,0.7973544973544973,-2553.333333333334,ohi,jockey,0.05,0.7,3.8625343594143366
205,100,0.4878048780487805,0.7448780487804878,-5230.0,ohi,jockey,0.07,0.5,3.9686180047520443
135,67,0.4962962962962963,0.9624691358024692,-506.66666666666606,ohi,jockey,0.07,0.6,4.728278702370156
106,53,0.5,0.8459119496855345,-1633.333333333334,ohi,jockey,0.07,0.7,3.9528017499064547
143,78,0.5454545454545454,0.823076923076923,-2530.0,ohi,jockey,0.1,0.5,4.090538638881785
89,47,0.5280898876404494,1.0640449438202246,570.0,ohi,jockey,0.1,0.6,4.787999727868271
70,39,0.5571428571428572,0.8957142857142857,-730.0,ohi,jockey,0.1,0.7,3.818143261292721
121,67,0.5537190082644629,0.8493112947658402,-1823.333333333334,ohi,jockey,0.12,0.5,4.080109333584747
76,42,0.5526315789473685,1.1578947368421053,1200.0,ohi,jockey,0.12,0.6,5.029669435830582
51,31,0.6078431372549019,0.9745098039215686,-130.0,ohi,jockey,0.12,0.7,3.8505257414411167
71,50,0.704225352112676,1.0685446009389672,486.66666666666697,ohi,jockey,0.15,0.5,4.569808491493212
47,30,0.6382978723404256,0.9035460992907802,-453.33333333333303,ohi,jockey,0.15,0.6,3.4978085729763504
30,19,0.6333333333333333,1.15,450.0,ohi,jockey,0.15,0.7,3.949085285157918
37,25,0.6756756756756757,0.899099099099099,-373.3333333333335,ohi,jockey,0.2,0.5,3.2705504391053446
21,15,0.7142857142857143,1.0571428571428572,120.0,ohi,jockey,0.2,0.6,3.267673450693077
16,11,0.6875,1.45625,730.0,ohi,jockey,0.2,0.7,4.125866932281865
353,181,0.5127478753541076,0.8077431539187913,-6786.666666666668,ohi,combined,0.0,0.5,4.740884399900501
283,135,0.47703180212014135,0.7471142520612485,-7156.666666666668,ohi,combined,0.0,0.6,4.22042916285707
212,108,0.5094339622641509,0.8072327044025157,-4086.666666666668,ohi,combined,0.0,0.7,4.32781037401764
289,155,0.5363321799307958,0.8354094579008073,-4756.666666666668,ohi,combined,0.03,0.5,4.736672148229285
224,115,0.5133928571428571,0.794345238095238,-4606.666666666668,ohi,combined,0.03,0.6,4.302253563536785
161,90,0.5590062111801242,0.8300207039337475,-2736.666666666666,ohi,combined,0.03,0.7,4.222810291500337
265,143,0.539622641509434,0.8480503144654088,-4026.666666666668,ohi,combined,0.05,0.5,4.735085800478769
190,102,0.5368421052631579,0.8243859649122808,-3336.666666666666,ohi,combined,0.05,0.6,4.3299004979633535
148,81,0.5472972972972973,0.804954954954955,-2886.666666666666,ohi,combined,0.05,0.7,4.027951373299341
238,135,0.5672268907563025,0.8738095238095238,-3003.333333333332,ohi,combined,0.07,0.5,4.785386008473487
162,91,0.5617283950617284,0.8473251028806584,-2473.333333333334,ohi,combined,0.07,0.6,4.316062412946964
135,74,0.5481481481481482,0.8034567901234567,-2653.333333333334,ohi,combined,0.07,0.7,3.9471059254778056
185,104,0.5621621621621622,0.8745945945945945,-2320.0,ohi,combined,0.1,0.5,4.570409793550248
135,78,0.5777777777777777,0.8701234567901234,-1753.333333333334,ohi,combined,0.1,0.6,4.274616251193542
111,63,0.5675675675675675,0.8006006006006006,-2213.333333333334,ohi,combined,0.1,0.7,3.777633030292108
158,91,0.5759493670886076,0.8727848101265823,-2010.0,ohi,combined,0.12,0.5,4.42406259168462
122,71,0.5819672131147541,0.8620218579234972,-1683.333333333334,ohi,combined,0.12,0.6,4.148208098688517
96,53,0.5520833333333334,0.7819444444444444,-2093.333333333333,ohi,combined,0.12,0.7,3.5771698345797285
132,78,0.5909090909090909,0.9151515151515152,-1120.0,ohi,combined,0.15,0.5,4.475410414312029
94,58,0.6170212765957447,0.8900709219858155,-1033.333333333334,ohi,combined,0.15,0.6,4.053273403516793
74,41,0.5540540540540541,0.7684684684684685,-1713.333333333333,ohi,combined,0.15,0.7,3.3178534782400657
86,50,0.5813953488372093,0.8468992248062015,-1316.666666666667,ohi,combined,0.2,0.5,3.7821741237442885
57,40,0.7017543859649122,0.9725146198830409,-156.66666666666697,ohi,combined,0.2,0.6,3.948840190958301
55,32,0.5818181818181818,0.7969696969696971,-1116.666666666666,ohi,combined,0.2,0.7,3.20808331716165
